condicion,asset,horizonte_h,periodo,n,ret_medio,win_rate,base_ret_medio,base_win_rate
rsi_sobrecompra,ETH,72,OOS,66,-0.006319278350621485,0.5303030303030303,-0.005403537718842406,0.4803351175238538
rsi_sobreventa,ETH,4,IS,191,0.0003164747324734478,0.5497382198952879,-1.63580669580798e-06,0.5064855791240653
rsi_sobreventa,ETH,4,OOS,62,0.0008217173699863726,0.5645161290322581,0.0003238872216163553,0.5069873997709049
rsi_sobreventa,ETH,8,IS,191,-0.0012901449248902234,0.5078534031413613,-3.828497821267529e-06,0.5113688386998322
rsi_sobreventa,ETH,8,OOS,62,-0.00016004864631669058,0.532258064516129,0.0006536848177387536,0.5145608805319881
rsi_sobreventa,ETH,24,IS,191,-0.004724667767288619,0.518324607329843,-4.117677248005448e-05,0.505341065160995
rsi_sobreventa,ETH,24,OOS,62,0.0026344031440451755,0.5483870967741935,0.0020373633265128306,0.5249712313003452
rsi_sobreventa,ETH,72,IS,191,0.0005588804412852293,0.5287958115183246,0.0002736213795651685,0.5024416297878834
rsi_sobreventa,ETH,72,OOS,62,0.011822072512390442,0.6612903225806451,0.005403537718842406,0.5196648824761462
div_alcista,ETH,4,IS,440,-0.0013398299762544098,0.5613636363636364,-1.63580669580798e-06,0.5064855791240653
div_alcista,ETH,4,OOS,132,0.0011938100201602149,0.5757575757575758,0.0003238872216163553,0.5069873997709049
div_alcista,ETH,8,IS,440,-0.0016157978154694211,0.5386363636363637,-3.828497821267529e-06,0.5113688386998322
div_alcista,ETH,8,OOS,132,0.0006239900742806702,0.5378787878787878,0.0006536848177387536,0.5145608805319881
div_alcista,ETH,24,IS,440,-0.004129713264461908,0.48863636363636365,-4.117677248005448e-05,0.505341065160995
div_alcista,ETH,24,OOS,132,0.004692146198120534,0.5984848484848485,0.0020373633265128306,0.5249712313003452
div_alcista,ETH,72,IS,440,0.0005735549245947509,0.5454545454545454,0.0002736213795651685,0.5024416297878834
div_alcista,ETH,72,OOS,132,0.003226738433155034,0.6212121212121212,0.005403537718842406,0.5196648824761462
div_bajista,ETH,4,IS,435,-0.001227783275410066,0.5310344827586206,1.63580669580798e-06,0.49351442087593467
div_bajista,ETH,4,OOS,160,-0.0023228158012055166,0.49375,-0.0003238872216163553,0.4923253150057274
div_bajista,ETH,8,IS,435,-0.002357594855180691,0.49885057471264366,3.828497821267529e-06,0.48863116130016787
div_bajista,ETH,8,OOS,160,-0.0016100357212667782,0.53125,-0.0006536848177387536,0.48543911946801194
div_bajista,ETH,24,IS,435,-0.0041183707524314606,0.5333333333333333,4.117677248005448e-05,0.494658934839005
div_bajista,ETH,24,OOS,160,-0.004820136156744848,0.4875,-0.0020373633265128306,0.47479861910241655
div_bajista,ETH,72,IS,435,-0.0070625292983975945,0.4827586206896552,-0.0002736213795651685,0.4975583702121166
div_bajista,ETH,72,OOS,157,-0.010584078023117437,0.46496815286624205,-0.005403537718842406,0.4803351175238538
ema20_toque,ETH,4,IS,1435,0.0001817313836888258,0.49337979094076656,0.00017169622030945548,0.4731420723332825
ema20_toque,ETH,4,OOS,440,0.0008298727465830792,0.5272727272727272,0.00019773780055917737,0.47949599083619704
ema20_toque,ETH,8,IS,1435,0.00020116401331143815,0.4759581881533101,0.0002529587191797902,0.47710972073859303
ema20_toque,ETH,8,OOS,439,0.0009695275202345996,0.5125284738041003,0.0005907041586739939,0.48635634028892455
ema20_toque,ETH,24,IS,1435,0.0015590654270528003,0.5114982578397212,0.0006837927819099191,0.48664733709751257
ema20_toque,ETH,24,OOS,438,0.0015303716230816817,0.502283105022831,0.00041876840587152945,0.4736478711162255
ema20_toque,ETH,72,IS,1435,-0.0022841054166718865,0.4912891986062718,-0.00016601580984732558,0.4832900961391729
ema20_toque,ETH,72,OOS,433,-0.0002450663184082707,0.4665127020785219,-0.0017311810400645004,0.4465906446357924
vwap_ruptura_alza,ETH,4,IS,1105,0.0003471825666416147,0.5122171945701357,-1.63580669580798e-06,0.5064855791240653
vwap_ruptura_alza,ETH,4,OOS,385,0.0013638673384192934,0.5298701298701298,0.0003238872216163553,0.5069873997709049
vwap_ruptura_alza,ETH,8,IS,1105,0.000408017176660926,0.5185520361990951,-3.828497821267529e-06,0.5113688386998322
vwap_ruptura_alza,ETH,8,OOS,385,0.0022921120823060316,0.5818181818181818,0.0006536848177387536,0.5145608805319881
vwap_ruptura_alza,ETH,24,IS,1105,0.0006399254418063324,0.5167420814479639,-4.117677248005448e-05,0.505341065160995
vwap_ruptura_alza,ETH,24,OOS,381,0.003799836969136685,0.5459317585301837,0.0020373633265128306,0.5249712313003452
vwap_ruptura_alza,ETH,72,IS,1105,0.0022541922319740974,0.5447963800904977,0.0002736213795651685,0.5024416297878834
